time,on/off,note,velocity,channel
16.0000,on,50,100,3
16.2500,off,69,0,0
16.2500,on,62,100,0
16.5000,off,67,0,1
16.5000,off,62,0,0
16.5000,on,74,100,0
16.5000,on,65,100,1
17.0000,off,50,0,3
17.0000,off,65,0,1
17.0000,on,64,100,1
17.0000,on,57,100,3
17.5000,off,74,0,0
17.5000,on,73,100,0
18.0000,off,64,0,1
18.0000,off,57,0,3
18.0000,off,73,0,0
18.0000,on,74,100,0
18.0000,on,62,100,1
18.0000,on,53,100,3
18.2500,off,74,0,0
18.2500,on,69,100,0
18.5000,off,69,0,0
18.5000,on,72,100,0
18.7500,off,62,0,1
18.7500,on,64,100,1
19.0000,off,53,0,3
19.0000,off,64,0,1
19.0000,on,65,100,1
19.0000,on,50,100,3
19.2500,off,72,0,0
19.2500,on,69,100,0
19.5000,off,69,0,0
19.5000,on,70,100,0
19.7500,off,65,0,1
19.7500,on,62,100,1
20.0000,off,50,0,3
20.0000,off,62,0,1
20.0000,on,67,100,1
20.0000,on,49,100,3
20.2500,off,70,0,0
20.2500,on,64,100,0
20.5000,off,64,0,0
20.5000,on,69,100,0
20.7500,off,67,0,1
20.7500,on,67,100,1
21.0000,off,49,0,3
21.0000,off,67,0,1
21.0000,on,65,100,1
21.0000,on,50,100,3
21.2500,off,65,0,1
21.2500,on,64,100,1
21.5000,off,50,0,3
21.5000,off,64,0,1
21.5000,on,62,100,1
21.5000,on,52,100,3
21.7500,off,62,0,1
21.7500,on,61,100,1
22.0000,off,69,0,0
22.0000,off,52,0,3
22.0000,off,61,0,1
22.0000,on,69,100,0
22.0000,on,62,100,1
22.0000,on,53,100,3
22.2500,off,69,0,0
22.2500,on,72,100,0
22.5000,off,62,0,1
22.5000,on,67,100,1
22.7500,off,72,0,0
22.7500,on,71,100,0
23.0000,off,71,0,0
23.0000,on,72,100,0
23.2500,off,53,0,3
23.2500,on,55,100,3
23.5000,off,67,0,1
23.5000,off,55,0,3
23.5000,on,60,100,1
23.5000,on,53,100,3
23.7500,off,53,0,3
23.7500,on,52,100,3
24.0000,off,60,0,1
24.0000,off,52,0,3
24.0000,on,65,100,1
24.0000,on,57,100,2
24.0000,on,50,100,3
24.2500,off,72,0,0
24.2500,on,62,100,0
24.5000,off,62,0,0
24.5000,on,72,100,0
24.7500,off,65,0,1
24.7500,on,64,100,1
25.0000,off,57,0,2
25.0000,off,50,0,3
25.0000,off,64,0,1
25.0000,on,65,100,1
25.0000,on,62,100,2
25.2500,off,72,0,0
25.2500,on,69,100,0
25.5000,off,69,0,0
25.5000,on,71,100,0
25.7500,off,65,0,1
25.7500,on,56,100,1
26.0000,off,62,0,2
26.0000,off,56,0,1
26.0000,on,64,100,1
26.0000,on,60,100,2
26.5000,off,71,0,0
26.5000,on,69,100,0
26.5000,on,45,100,3
26.7500,off,69,0,0
26.7500,off,45,0,3
26.7500,on,68,100,0
26.7500,on,47,100,3
27.0000,off,60,0,2
27.0000,off,68,0,0
27.0000,off,47,0,3
27.0000,on,69,100,0
27.0000,on,57,100,2
27.0000,on,48,100,3
27.2500,off,48,0,3
27.2500,on,45,100,3
27.5000,off,64,0,1
27.5000,off,45,0,3
27.5000,on,62,100,1
27.5000,on,53,100,3
27.7500,off,62,0,1
27.7500,on,60,100,1
28.0000,off,69,0,0
28.0000,off,57,0,2
28.0000,off,60,0,1
28.0000,on,71,100,0
28.0000,on,62,100,1
28.0000,on,56,100,2
28.2500,off,53,0,3
28.2500,off,62,0,1
28.2500,on,65,100,1
28.2500,on,47,100,3
28.5000,off,65,0,1
28.5000,off,47,0,3
28.5000,on,64,100,1
28.5000,on,52,100,3
28.7500,off,64,0,1
28.7500,on,62,100,1
29.0000,off,71,0,0
29.0000,off,56,0,2
29.0000,off,62,0,1
29.0000,on,72,100,0
29.0000,on,60,100,1
29.0000,on,57,100,2
29.2500,off,52,0,3
29.2500,on,53,100,3
29.5000,off,72,0,0
29.5000,off,60,0,1
29.5000,off,57,0,2
29.5000,off,53,0,3
29.5000,on,74,100,0
29.5000,on,59,100,2
29.5000,on,52,100,3
29.7500,off,52,0,3
29.7500,on,50,100,3
30.0000,off,74,0,0
30.0000,off,59,0,2
30.0000,off,50,0,3
30.0000,on,67,100,0
30.0000,on,60,100,2
30.0000,on,52,100,3
30.2500,off,67,0,0
30.2500,off,52,0,3
30.2500,on,70,100,0
30.2500,on,55,100,3
30.5000,off,70,0,0
30.5000,off,55,0,3
30.5000,on,69,100,0
30.5000,on,54,100,3
30.7500,off,54,0,3
30.7500,on,57,100,3
31.0000,off,57,0,3
31.0000,on,55,100,3
31.2500,off,60,0,2
31.2500,off,69,0,0
31.2500,on,70,100,0
31.2500,on,62,100,2
31.5000,off,70,0,0
31.5000,off,62,0,2
31.5000,on,69,100,0
31.5000,on,60,100,2
31.7500,off,69,0,0
31.7500,off,60,0,2
31.7500,on,67,100,0
31.7500,on,58,100,2
32.0000,off,55,0,3
32.0000,off,58,0,2
32.0000,on,57,100,2
32.0000,on,50,100,3
32.2500,off,67,0,0
32.2500,on,64,100,0
32.5000,off,64,0,0
32.5000,on,65,100,0
32.7500,off,65,0,0
32.7500,on,62,100,0
33.0000,off,62,0,0
33.0000,on,70,100,0
33.2500,off,57,0,2
33.2500,on,53,100,2
33.5000,off,50,0,3
33.5000,off,53,0,2
33.5000,on,55,100,2
33.5000,on,52,100,3
33.7500,off,52,0,3
33.7500,on,50,100,3
34.0000,off,55,0,2
34.0000,off,50,0,3
34.0000,on,60,100,2
34.0000,on,52,100,3
34.2500,off,70,0,0
34.2500,on,67,100,0
34.5000,off,52,0,3
34.5000,off,67,0,0
34.5000,on,69,100,0
34.5000,on,53,100,3
34.7500,off,53,0,3
34.7500,on,52,100,3
35.0000,off,69,0,0
35.0000,off,52,0,3
35.0000,on,74,100,0
35.0000,on,54,100,3
35.2500,off,60,0,2
35.2500,on,57,100,2
35.5000,off,54,0,3
35.5000,off,57,0,2
35.5000,on,59,100,2
35.5000,on,55,100,3
35.7500,off,55,0,3
35.7500,on,54,100,3
36.0000,off,59,0,2
36.0000,off,54,0,3
36.0000,on,64,100,2
36.0000,on,56,100,3
36.2500,off,74,0,0
36.2500,on,71,100,0
36.5000,off,56,0,3
36.5000,off,71,0,0
36.5000,on,72,100,0
36.5000,on,57,100,3
36.7500,off,57,0,3
36.7500,on,56,100,3
37.0000,off,72,0,0
37.0000,off,56,0,3
37.0000,on,77,100,0
37.0000,on,57,100,3
37.2500,off,64,0,2
37.2500,on,61,100,2
37.5000,off,57,0,3
37.5000,off,61,0,2
37.5000,on,62,100,2
37.5000,on,58,100,3
37.7500,off,58,0,3
37.7500,on,57,100,3
38.0000,off,62,0,2
38.0000,off,57,0,3
38.0000,on,67,100,2
38.0000,on,59,100,3
38.2500,off,77,0,0
38.2500,on,74,100,0
38.5000,off,59,0,3
38.5000,off,74,0,0
38.5000,on,76,100,0
38.5000,on,60,100,3
38.7500,off,60,0,3
38.7500,on,59,100,3
39.0000,off,76,0,0
39.0000,off,59,0,3
39.0000,on,69,100,0
39.0000,on,61,100,3
39.2500,off,67,0,2
39.2500,on,64,100,2
39.5000,off,69,0,0
39.5000,off,61,0,3
39.5000,off,64,0,2
39.5000,on,74,100,0
39.5000,on,65,100,2
39.5000,on,62,100,3
39.7500,off,62,0,3
39.7500,on,56,100,3
40.0000,off,65,0,2
40.0000,off,56,0,3
40.0000,on,64,100,2
40.0000,on,57,100,3
40.2500,off,74,0,0
40.2500,on,71,100,0
40.5000,off,71,0,0
40.5000,on,72,100,0
40.7500,off,64,0,2
40.7500,on,69,100,2
41.0000,off,72,0,0
41.0000,off,69,0,2
41.0000,on,65,100,0
41.0000,on,62,100,2
41.2500,off,57,0,3
41.2500,on,53,100,3
41.5000,off,65,0,0
41.5000,off,53,0,3
41.5000,on,70,100,0
41.5000,on,55,100,3
41.7500,off,62,0,2
41.7500,on,64,100,2
42.0000,off,70,0,0
42.0000,off,64,0,2
42.0000,on,69,100,0
42.0000,on,61,100,2
42.2500,off,55,0,3
42.2500,on,52,100,3
42.5000,off,61,0,2
42.5000,off,52,0,3
42.5000,on,62,100,2
42.5000,on,53,100,3
42.7500,off,62,0,2
42.7500,on,57,100,2
43.0000,off,69,0,0
43.0000,off,57,0,2
43.0000,on,62,100,0
43.0000,on,59,100,2
43.2500,off,53,0,3
43.2500,on,50,100,3
43.5000,off,62,0,0
43.5000,off,50,0,3
43.5000,on,67,100,0
43.5000,on,52,100,3
43.7500,off,59,0,2
43.7500,on,61,100,2
44.0000,off,52,0,3
44.0000,off,61,0,2
44.0000,on,62,100,1
44.0000,on,62,100,2
44.0000,on,50,100,3
44.2500,off,67,0,0
44.2500,on,64,100,0
44.5000,off,62,0,2
44.5000,off,64,0,0
44.5000,on,65,100,0
44.5000,on,57,100,2
44.7500,off,65,0,0
44.7500,on,74,100,0
45.0000,off,62,0,1
45.0000,off,74,0,0
45.0000,on,64,100,0
45.0000,on,69,100,1
45.2500,off,50,0,3
45.2500,on,47,100,3
45.5000,off,47,0,3
45.5000,on,49,100,3
46.0000,off,69,0,1
46.0000,off,49,0,3
46.0000,on,65,100,1
46.0000,on,50,100,3
46.2500,off,64,0,0
46.2500,on,62,100,0
46.5000,off,62,0,0
46.5000,on,69,100,0
46.7500,off,50,0,3
46.7500,on,48,100,3
47.0000,off,57,0,2
47.0000,off,65,0,1
47.0000,off,48,0,3
47.0000,on,62,100,1
47.0000,on,58,100,2
47.0000,on,46,100,3
47.5000,off,69,0,0
47.5000,on,67,100,0
48.0000,off,62,0,1
48.0000,off,58,0,2
48.0000,off,46,0,3
48.0000,off,67,0,0
48.0000,on,69,100,0
48.0000,on,61,100,1
48.0000,on,45,100,3
48.2500,on,52,100,2
48.5000,off,52,0,2
48.5000,on,57,100,2
48.7500,off,45,0,3
48.7500,on,43,100,3
49.0000,off,69,0,0
49.0000,off,61,0,1
49.0000,off,43,0,3
49.0000,on,62,100,1
49.0000,on,41,100,3
49.2500,off,57,0,2
49.2500,off,41,0,3
49.2500,on,58,100,2
49.2500,on,43,100,3
49.5000,off,62,0,1
49.5000,off,58,0,2
49.5000,off,43,0,3
49.5000,on,64,100,1
49.5000,on,57,100,2
49.5000,on,41,100,3
49.7500,off,57,0,2
49.7500,off,41,0,3
49.7500,on,55,100,2
49.7500,on,40,100,3
50.0000,off,64,0,1
50.0000,off,55,0,2
50.0000,off,40,0,3
50.0000,on,65,100,1
50.0000,on,57,100,2
50.0000,on,38,100,3
50.2500,off,38,0,3
50.2500,on,41,100,3
50.5000,off,57,0,2
50.5000,off,41,0,3
50.5000,on,59,100,2
50.5000,on,40,100,3
50.7500,off,40,0,3
50.7500,on,38,100,3
51.0000,off,59,0,2
51.0000,off,38,0,3
51.0000,on,60,100,2
51.0000,on,45,100,3
51.2500,off,65,0,1
51.2500,on,67,100,1
51.5000,off,67,0,1
51.5000,on,65,100,1
51.7500,off,45,0,3
51.7500,off,65,0,1
51.7500,on,64,100,1
51.7500,on,41,100,3
52.0000,off,64,0,1
52.0000,off,41,0,3
52.0000,on,62,100,1
52.0000,on,46,100,3
52.2500,off,60,0,2
52.2500,on,57,100,2
52.5000,off,62,0,1
52.5000,off,57,0,2
52.5000,on,67,100,1
52.5000,on,58,100,2
52.7500,off,46,0,3
52.7500,on,43,100,3
53.0000,off,58,0,2
53.0000,off,43,0,3
53.0000,on,57,100,2
53.0000,on,50,100,3
53.2500,off,67,0,1
53.2500,on,64,100,1
53.5000,off,57,0,2
53.5000,off,64,0,1
53.5000,on,65,100,1
53.5000,on,62,100,2
53.7500,off,50,0,3
53.7500,on,53,100,3
54.0000,off,65,0,1
54.0000,off,53,0,3
54.0000,on,64,100,1
54.0000,on,57,100,3
54.2500,off,62,0,2
54.2500,on,59,100,2
54.5000,off,64,0,1
54.5000,off,59,0,2
54.5000,on,69,100,1
54.5000,on,60,100,2
54.7500,off,57,0,3
54.7500,on,45,100,3
55.0000,off,60,0,2
55.0000,off,45,0,3
55.0000,on,59,100,2
55.0000,on,40,100,3
55.2500,off,69,0,1
55.2500,on,66,100,1
55.5000,off,59,0,2
55.5000,off,66,0,1
55.5000,on,67,100,1
55.5000,on,64,100,2
56.0000,off,40,0,3
56.0000,off,67,0,1
56.0000,on,69,100,0
56.0000,on,66,100,1
56.2500,off,64,0,2
56.2500,on,57,100,2
56.5000,off,57,0,2
56.5000,on,62,100,2
56.7500,off,66,0,1
56.7500,on,74,100,1
57.0000,off,69,0,0
57.0000,off,74,0,1
57.0000,on,76,100,0
57.0000,on,68,100,1
57.0000,on,52,100,3
57.2500,off,62,0,2
57.2500,on,62,100,2
57.5000,off,62,0,2
57.5000,on,60,100,2
57.7500,off,60,0,2
57.7500,on,59,100,2
58.0000,off,76,0,0
58.0000,off,68,0,1
58.0000,off,52,0,3
58.0000,off,59,0,2
58.0000,on,72,100,0
58.0000,on,69,100,1
58.0000,on,60,100,2
58.0000,on,57,100,3
58.2500,off,60,0,2
58.2500,on,62,100,2
58.5000,off,69,0,1
58.5000,off,62,0,2
58.5000,on,64,100,2
58.7500,on,57,100,1
59.0000,off,72,0,0
59.0000,off,57,0,3
59.0000,off,57,0,1
59.0000,on,69,100,0
59.0000,on,60,100,1
59.0000,on,53,100,3
59.2500,off,64,0,2
59.2500,on,64,100,2
59.5000,off,60,0,1
59.5000,off,64,0,2
59.5000,on,57,100,1
59.5000,on,62,100,2
59.7500,off,62,0,2
59.7500,on,60,100,2
60.0000,off,69,0,0
60.0000,off,57,0,1
60.0000,off,60,0,2
60.0000,on,68,100,0
60.0000,on,62,100,1
60.0000,on,59,100,2
60.2500,off,53,0,3
60.2500,on,53,100,3
60.5000,off,62,0,1
60.5000,off,53,0,3
60.5000,on,65,100,1
60.5000,on,52,100,3
60.7500,off,52,0,3
60.7500,on,50,100,3
61.0000,off,68,0,0
61.0000,off,59,0,2
61.0000,off,65,0,1
61.0000,off,50,0,3
61.0000,on,69,100,0
61.0000,on,64,100,1
61.0000,on,60,100,2
61.0000,on,48,100,3
61.2500,off,48,0,3
61.2500,on,50,100,3
61.5000,off,69,0,0
61.5000,off,64,0,1
61.5000,off,60,0,2
61.5000,off,50,0,3
61.5000,on,71,100,0
61.5000,on,62,100,1
61.5000,on,56,100,2
61.5000,on,48,100,3
61.7500,off,48,0,3
61.7500,on,47,100,3
62.0000,off,71,0,0
62.0000,off,62,0,1
62.0000,off,56,0,2
62.0000,off,47,0,3
62.0000,on,72,100,0
62.0000,on,60,100,1
62.0000,on,57,100,2
62.0000,on,45,100,3
62.2500,off,57,0,2
62.2500,on,55,100,2
62.5000,off,60,0,1
62.5000,off,55,0,2
62.5000,on,69,100,1
62.5000,on,54,100,2
62.7500,off,54,0,2
62.7500,on,52,100,2
63.0000,off,45,0,3
63.0000,off,52,0,2
63.0000,on,54,100,2
63.0000,on,50,100,3
63.2500,off,72,0,0
63.2500,on,74,100,0
63.5000,off,69,0,1
63.5000,off,54,0,2
63.5000,off,74,0,0
63.5000,on,72,100,0
63.5000,on,62,100,1
63.5000,on,55,100,2
63.7500,off,72,0,0
63.7500,on,70,100,0
64.0000,off,50,0,3
64.0000,off,62,0,1
64.0000,off,70,0,0
64.0000,on,69,100,0
64.0000,on,64,100,1
64.0000,on,49,100,3
64.2500,off,55,0,2
64.2500,on,55,100,2
64.5000,off,69,0,0
64.5000,off,64,0,1
64.5000,off,55,0,2
64.5000,on,69,100,1
64.5000,on,53,100,2
64.7500,off,53,0,2
64.7500,on,52,100,2
65.0000,off,49,0,3
65.0000,off,52,0,2
65.0000,on,53,100,2
65.0000,on,45,100,3
65.2500,off,69,0,1
65.2500,off,53,0,2
65.2500,on,67,100,1
65.2500,on,52,100,2
65.5000,off,67,0,1
65.5000,off,52,0,2
65.5000,on,69,100,0
65.5000,on,65,100,1
65.5000,on,50,100,2
65.7500,off,65,0,1
65.7500,off,50,0,2
65.7500,on,64,100,1
65.7500,on,49,100,2
66.0000,off,45,0,3
66.0000,off,64,0,1
66.0000,off,49,0,2
66.0000,on,62,100,1
66.0000,on,50,100,2
66.0000,on,42,100,3
66.2500,off,69,0,0
66.2500,on,72,100,0
66.5000,off,50,0,2
66.5000,off,72,0,0
66.5000,on,70,100,0
66.7500,off,70,0,0
66.7500,on,69,100,0
67.0000,off,42,0,3
67.0000,off,69,0,0
67.0000,on,70,100,0
67.0000,on,43,100,3
67.2500,off,70,0,0
67.2500,on,69,100,0
67.5000,off,43,0,3
67.5000,off,69,0,0
67.5000,on,67,100,0
67.5000,on,45,100,3
67.7500,off,67,0,0
67.7500,on,66,100,0
68.0000,off,45,0,3
68.0000,off,66,0,0
68.0000,on,67,100,0
68.0000,on,46,100,3
68.2500,off,62,0,1
68.2500,on,62,100,1
68.5000,off,62,0,1
68.5000,on,67,100,1
68.7500,off,67,0,0
68.7500,on,70,100,0
69.0000,off,70,0,0
69.0000,on,64,100,0
69.2500,off,46,0,3
69.2500,off,67,0,1
69.2500,on,67,100,1
69.2500,on,48,100,3
69.5000,off,67,0,1
69.5000,off,48,0,3
69.5000,on,60,100,1
69.5000,on,46,100,3
69.7500,off,64,0,0
69.7500,off,46,0,3
69.7500,on,66,100,0
69.7500,on,45,100,3
70.0000,off,66,0,0
70.0000,off,45,0,3
70.0000,on,67,100,0
70.0000,on,43,100,3
70.2500,off,60,0,1
70.2500,on,57,100,1
70.5000,off,57,0,1
70.5000,on,58,100,1
70.7500,off,67,0,0
70.7500,on,64,100,0
71.0000,off,58,0,1
71.0000,off,64,0,0
71.0000,on,61,100,0
71.0000,on,57,100,1
71.2500,off,43,0,3
71.2500,on,40,100,3
71.5000,off,40,0,3
71.5000,on,41,100,3
71.7500,off,61,0,0
71.7500,on,69,100,0
72.0000,off,41,0,3
72.0000,off,69,0,0
72.0000,on,62,100,0
72.0000,on,46,100,3
72.2500,off,57,0,1
72.2500,on,53,100,1
72.5000,off,53,0,1
72.5000,on,55,100,1
72.7500,off,62,0,0
72.7500,on,65,100,0
73.0000,off,55,0,1
73.0000,off,65,0,0
73.0000,on,64,100,0
73.0000,on,60,100,1
73.2500,off,46,0,3
73.2500,on,43,100,3
73.5000,off,43,0,3
73.5000,on,45,100,3
73.7500,off,64,0,0
73.7500,on,72,100,0
74.0000,off,45,0,3
74.0000,off,72,0,0
74.0000,on,65,100,0
74.0000,on,50,100,3
74.2500,off,60,0,1
74.2500,on,57,100,1
74.5000,off,57,0,1
74.5000,on,59,100,1
74.7500,off,65,0,0
74.7500,on,69,100,0
75.0000,off,59,0,1
75.0000,off,69,0,0
75.0000,on,67,100,0
75.0000,on,64,100,1
75.2500,off,50,0,3
75.2500,on,47,100,3
75.5000,off,47,0,3
75.5000,on,48,100,3
75.7500,off,67,0,0
75.7500,on,76,100,0
76.0000,off,48,0,3
76.0000,off,76,0,0
76.0000,on,69,100,0
76.0000,on,53,100,3
76.2500,off,64,0,1
76.2500,on,61,100,1
76.5000,off,61,0,1
76.5000,on,62,100,1
76.7500,off,69,0,0
76.7500,on,72,100,0
77.0000,off,62,0,1
77.0000,off,72,0,0
77.0000,on,71,100,0
77.0000,on,67,100,1
77.2500,off,53,0,3
77.2500,on,50,100,3
77.5000,off,50,0,3
77.5000,on,52,100,3
77.7500,off,71,0,0
77.7500,on,79,100,0
78.0000,off,52,0,3
78.0000,off,79,0,0
78.0000,on,73,100,0
78.0000,on,52,100,2
78.0000,on,45,100,3
78.2500,off,67,0,1
78.2500,on,69,100,1
78.5000,off,69,0,1
78.5000,on,70,100,1
78.7500,off,45,0,3
78.7500,on,55,100,3
79.0000,off,73,0,0
79.0000,off,52,0,2
79.0000,off,70,0,1
79.0000,off,55,0,3
79.0000,on,74,100,0
79.0000,on,69,100,1
79.0000,on,57,100,2
79.0000,on,53,100,3
79.2500,off,53,0,3
79.2500,on,52,100,3
79.5000,off,74,0,0
79.5000,off,52,0,3
79.5000,on,76,100,0
79.5000,on,50,100,3
79.7500,off,50,0,3
79.7500,on,49,100,3
80.0000,off,57,0,2
80.0000,off,49,0,3
80.0000,on,53,100,2
80.0000,on,50,100,3
80.2500,off,76,0,0
80.2500,on,73,100,0
80.5000,off,73,0,0
80.5000,on,74,100,0
80.7500,off,50,0,3
80.7500,on,41,100,3
81.0000,off,53,0,2
81.0000,off,41,0,3
81.0000,on,50,100,2
81.0000,on,46,100,3
81.2500,off,69,0,1
81.2500,on,65,100,1
81.5000,off,65,0,1
81.5000,on,67,100,1
81.7500,off,74,0,0
81.7500,on,76,100,0
82.0000,off,50,0,2
82.0000,off,46,0,3
82.0000,off,67,0,1
82.0000,off,76,0,0
82.0000,on,77,100,0
82.0000,on,69,100,1
82.0000,on,49,100,2
82.0000,on,45,100,3
82.2500,off,77,0,0
82.2500,on,76,100,0
82.5000,off,76,0,0
82.5000,on,79,100,0
82.7500,off,69,0,1
82.7500,on,70,100,1
83.0000,off,49,0,2
83.0000,off,70,0,1
83.0000,on,69,100,1
83.0000,on,50,100,2
83.2500,off,79,0,0
83.2500,on,77,100,0
83.5000,off,69,0,1
83.5000,off,50,0,2
83.5000,off,77,0,0
83.5000,on,76,100,0
83.5000,on,67,100,1
83.5000,on,52,100,2
83.7500,off,76,0,0
83.7500,on,74,100,0
84.0000,off,52,0,2
84.0000,off,74,0,0
84.0000,on,73,100,0
84.0000,on,53,100,2
84.2500,off,73,0,0
84.2500,on,69,100,0
84.5000,off,67,0,1
84.5000,off,69,0,0
84.5000,on,74,100,0
84.5000,on,65,100,1
84.7500,off,45,0,3
84.7500,off,65,0,1
84.7500,on,62,100,1
84.7500,on,46,100,3
85.0000,off,62,0,1
85.0000,off,46,0,3
85.0000,on,69,100,1
85.0000,on,45,100,3
85.2500,off,53,0,2
85.2500,off,74,0,0
85.2500,off,45,0,3
85.2500,on,71,100,0
85.2500,on,55,100,2
85.2500,on,43,100,3
85.5000,off,71,0,0
85.5000,off,55,0,2
85.5000,off,43,0,3
85.5000,on,72,100,0
85.5000,on,53,100,2
85.5000,on,45,100,3
85.7500,off,69,0,1
85.7500,off,53,0,2
85.7500,on,67,100,1
85.7500,on,52,100,2
86.0000,off,72,0,0
86.0000,off,45,0,3
86.0000,off,67,0,1
86.0000,off,52,0,2
86.0000,on,72,100,0
86.0000,on,66,100,1
86.0000,on,50,100,2
86.0000,on,46,100,3
86.2500,off,66,0,1
86.2500,on,62,100,1
86.5000,off,72,0,0
86.5000,off,62,0,1
86.5000,on,70,100,0
86.5000,on,67,100,1
86.7500,off,46,0,3
86.7500,on,43,100,3
87.0000,off,70,0,0
87.0000,off,43,0,3
87.0000,on,69,100,0
87.0000,on,50,100,3
87.2500,off,67,0,1
87.2500,on,64,100,1
87.5000,off,50,0,2
87.5000,off,69,0,0
87.5000,off,64,0,1
87.5000,on,65,100,1
87.5000,on,57,100,2
87.7500,off,57,0,2
87.7500,on,53,100,2
88.0000,off,53,0,2
88.0000,on,58,100,2
88.2500,off,65,0,1
88.2500,on,62,100,1
88.5000,off,50,0,3
88.5000,off,62,0,1
88.5000,on,67,100,1
88.5000,on,52,100,3
88.7500,off,58,0,2
88.7500,on,55,100,2
89.0000,off,55,0,2
89.0000,on,60,100,2
89.2500,off,67,0,1
89.2500,on,64,100,1
89.5000,off,52,0,3
89.5000,off,64,0,1
89.5000,on,69,100,1
89.5000,on,53,100,3
89.7500,off,60,0,2
89.7500,on,57,100,2
90.0000,off,57,0,2
90.0000,on,62,100,2
90.2500,off,69,0,1
90.2500,on,65,100,1
90.5000,off,62,0,2
90.5000,off,65,0,1
90.5000,on,70,100,1
90.5000,on,55,100,2
90.7500,off,53,0,3
90.7500,on,50,100,3
91.0000,off,55,0,2
91.0000,off,50,0,3
91.0000,on,60,100,2
91.0000,on,52,100,3
91.2500,off,70,0,1
91.2500,on,67,100,1
91.5000,off,60,0,2
91.5000,off,67,0,1
91.5000,on,69,100,1
91.5000,on,53,100,2
91.7500,off,52,0,3
91.7500,on,49,100,3
92.0000,off,53,0,2
92.0000,off,49,0,3
92.0000,on,58,100,2
92.0000,on,50,100,3
92.2500,off,69,0,1
92.2500,on,65,100,1
92.5000,off,58,0,2
92.5000,off,65,0,1
92.5000,on,67,100,1
92.5000,on,52,100,2
92.7500,off,50,0,3
92.7500,on,47,100,3
93.0000,off,52,0,2
93.0000,off,47,0,3
93.0000,on,57,100,2
93.0000,on,49,100,3
93.2500,off,49,0,3
93.2500,on,45,100,3
93.5000,off,67,0,1
93.5000,off,45,0,3
93.5000,on,65,100,1
93.5000,on,50,100,3
93.7500,off,65,0,1
93.7500,on,62,100,1
94.0000,off,57,0,2
94.0000,off,62,0,1
94.0000,on,69,100,1
94.0000,on,52,100,2
94.2500,off,50,0,3
94.2500,on,48,100,3
94.5000,off,52,0,2
94.5000,off,48,0,3
94.5000,on,57,100,2
94.5000,on,47,100,3
94.7500,off,47,0,3
94.7500,on,45,100,3
95.0000,off,69,0,1
95.0000,off,45,0,3
95.0000,on,74,100,1
95.0000,on,47,100,3
95.2500,off,57,0,2
95.2500,on,56,100,2
95.5000,off,56,0,2
95.5000,on,54,100,2
95.7500,off,54,0,2
95.7500,on,56,100,2
96.0000,off,47,0,3
96.0000,off,56,0,2
96.0000,on,76,100,0
96.0000,on,57,100,2
96.0000,on,45,100,3
96.2500,off,74,0,1
96.2500,on,73,100,1
96.5000,off,45,0,3
96.5000,off,73,0,1
96.5000,on,71,100,1
96.7500,off,57,0,2
96.7500,off,71,0,1
96.7500,on,73,100,1
96.7500,on,55,100,2
97.0000,off,76,0,0
97.0000,off,73,0,1
97.0000,off,55,0,2
97.0000,on,81,100,0
97.0000,on,74,100,1
97.0000,on,53,100,2
97.2500,off,74,0,1
97.2500,off,53,0,2
97.2500,on,69,100,1
